Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[   0.85814813    1.64506272   -1.41120545    2.24212586  169.40970662
 -169.03498075 -169.50076008 -169.28776181]","[   3.66954477    0.56522974   -1.21296583    1.86146744  165.7315803
 -168.27321327 -168.65636342 -168.54272751]","[   0.93503341    1.48383472   -0.69835989    1.19084236  509.56422067
 -509.27194927 -509.65368081 -509.48074407]","[   0.94200471    1.42221729   -0.58908739    0.85950835 -339.90056839
  340.3022288   339.86879353  340.02427834]","[ 1.58972559e+00  1.05813633e+00 -8.00401141e-01  1.20220423e+00
 -2.21859422e+03  2.21823208e+03  2.21780737e+03  2.21795361e+03]","[ 2.18714639e+00  8.57304979e-01 -5.95403355e-01  9.70903613e-01
 -3.56000721e+03  3.55894241e+03  3.55853360e+03  3.55871756e+03]","[ 1.60274417e+00  1.05824005e+00 -7.30785474e-01  1.05331373e+00
  2.56252318e+03 -2.56295048e+03 -2.56335179e+03 -2.56315643e+03]","[17.62185546  0.1865458  -2.0112475   3.66346387 -8.63561706 -8.43960309
 -8.84106234 -8.64689604]","[ 1.76979300e+00  1.00573560e+00 -1.00331843e+00  1.58532988e+00
 -1.19264901e+03  1.19204854e+03  1.19162554e+03  1.19179936e+03]","[   3.98303104    0.61245578   -1.74977641    3.01080152  169.7298001
 -172.81685756 -173.22999186 -173.05316282]",10205.63712,0.5383,7,0.045,8,0.1691,3,0.0016,10,0.52734,0.51451,0.53747,0.50343,0.49291,0.51305,0.53833,0.53183,0.50591,0.48638
Batch_02,"[ 0.0882657   3.93512781  4.36681843 -4.31868803  0.70341306 -0.17621195
  0.47284325  0.44157953]","[ 0.08526059  4.02540567  4.02361074 -4.14191939  0.9795145  -0.32794191
  0.24192465  0.12073508]","[ 0.01434068  5.94552952  5.21034851 -5.78071475  1.18711489 -0.36819094
  0.32936241  0.29733624]","[  0.0513225    4.58058907   4.55169274  -4.58571456  12.0638768
 -11.44938182 -10.80537012 -10.86971751]","[ 0.04233086  4.82750907  4.74012926 -4.92519413  1.80079961 -1.13819764
 -0.48179267 -0.58713211]","[ 3.10750954e-03  7.64809104e+00  5.38848575e+00 -6.36837070e+00
 -4.67067710e-01  1.46637605e+00  2.24332918e+00  2.12837913e+00]","[  0.07581274   4.16700972   3.66002155  -3.6719302   32.97010272
 -32.2817007  -31.70425785 -31.88948113]","[ 0.02669816  5.25090524  5.09099288 -5.49354449  0.47708484  0.25418234
  0.93097392  0.87505737]","[ 0.0570692   4.44308569  4.48839239 -4.64339531  1.01316968 -0.36721931
  0.26393224  0.22458651]","[ 0.025129    5.36640306  5.21909454 -5.71139979 -0.27236189  1.01313385
  1.65104423  1.59352154]",73.69376853,0.7953,6,0.0118,3,0.3542,7,0.0143,1,0.7868,0.79066,0.79141,0.79175,0.78642,0.79533,0.79461,0.79235,0.7873,0.79097
Batch_03,"[ 3.08578016e-03  7.91725166e+00  3.30174716e+00 -5.54615637e+00
  8.98518611e-01  8.63426083e-01  9.44329827e-01  1.13203480e+00]","[ 3.56365760e-03  7.73655486e+00  3.98162451e+00 -6.32241370e+00
  9.98954734e-01  6.45068325e-01  7.42264381e-01  9.96286765e-01]","[ 4.83887169e-03  7.32341919e+00  3.41704312e+00 -5.60853047e+00
  1.29642124e+00  4.09728813e-01  4.97857676e-01  7.19672630e-01]","[ 1.49477494e-04  1.18794660e+01  4.54791338e+00 -7.46793448e+00
  9.28978115e-01  8.48684899e-01  9.21299961e-01  1.11397643e+00]","[ 3.07282586e-03  8.00309108e+00  3.07818243e+00 -5.34021700e+00
  9.87970670e-01  8.06070667e-01  8.50052726e-01  1.08900094e+00]","[ 0.44217022  2.06909723  1.90924348 -2.96137414  1.66441402 -0.91506133
 -0.87306093 -0.63248783]","[ 6.48079968e-03  6.93572242e+00  3.72671919e+00 -5.97856055e+00
  9.20364069e-01  7.15823522e-01  8.14780465e-01  1.05006996e+00]","[ 0.47401365  2.17661312  1.85648977 -2.47075632 -0.39929397  0.87734549
  0.91614753  1.12207294]","[ 1.14514145e-03  9.26730107e+00  3.71681195e+00 -5.62484281e+00
  7.98961739e-01  8.15237337e-01  1.02808782e+00  1.16494162e+00]","[ 3.15821668e-03  7.72103597e+00  4.04321249e+00 -6.74643990e+00
  9.06706367e-01  8.40200264e-01  9.08491618e-01  1.16359064e+00]",214.1234,0.5332,9,0.0627,8,0.3772,4,0.0293,6,0.53044,0.5141,0.52233,0.52616,0.5168,0.50909,0.51897,0.52575,0.53315,0.51469
Batch_04,"[  6.70943749   0.6120702   -2.73697158   5.88736731 -33.87854065
  27.30035187  26.69766248  26.94592286]","[   1.68608422    1.29592276   -0.62771628    1.85767668  191.52939362
 -192.06996828 -192.88210553 -192.59467947]","[ 2.17691439e+02  2.88905711e-02 -3.77217314e+00  8.35039549e+00
 -1.09790397e+02 -1.08479676e+02 -1.09207676e+02 -1.08991077e+02]","[   2.2225        1.22711128   -2.68055634    5.1635583  -287.384084
  285.95884144  285.29546232  285.50735884]","[ 1.98372928e+00  1.18815066e+00 -1.21642379e+00  2.87720895e+00
  2.12069477e+03 -2.12152101e+03 -2.12237306e+03 -2.12211777e+03]","[ 7.14152546  0.51740807 -2.40532857  4.57406082 -3.93301544 -2.42423746
 -3.26188544 -3.0830682 ]","[ 1.84078406e+00  1.19784156e+00 -1.14284160e+00  1.59757167e+00
  1.73154431e+03 -1.73202394e+03 -1.73276828e+03 -1.73255716e+03]","[ 1.02937995  1.62848229 -1.04077705  1.54847294  0.85980316 -0.33952723
 -1.0801094  -0.88114501]","[ 0.76492867  1.91745087 -1.33866803  1.41555916  0.42497909  0.42065627
 -0.19277363 -0.11363264]","[ 1.70065718e+00  1.22970958e+00 -6.65948515e-01  8.82651095e-01
  4.00165259e+03 -4.00192012e+03 -4.00267913e+03 -4.00251017e+03]",9728.948268,0.7695,1,0.0145,2,0.464,4,0.0174,2,0.76949,0.7638,0.76851,0.7673,0.76379,0.76568,0.76845,0.76793,0.76713,0.76711
Batch_05,"[ 0.04617027  3.91277474  3.36971017 -7.06247067  0.88467768  1.06036438
  0.61118769  0.82089953]","[ 0.05010543  3.90885979  2.49490777 -5.07448167  0.88548447  1.04418059
  0.57605706  0.81334579]","[ 0.09403726  3.30220327  2.44832412 -4.57127073  0.72804322  0.98808135
  0.54761558  0.79765238]","[ 0.07262791  3.49217063  3.20405168 -6.1121728   0.73998923  1.02442162
  0.62547343  0.78128147]","[ 0.06096133  3.71340659  2.74137871 -5.1039838   0.97719056  0.84521782
  0.41500331  0.62196485]","[ 0.09400187  3.23311698  2.61140042 -4.61582559  0.78182675  0.91068418
  0.52959125  0.71945693]","[ 0.1519016   3.0124231   1.76810315 -2.56964487  0.59741879  0.80787782
  0.37605872  0.63292008]","[ 0.09685479  3.34394335  2.51872441 -4.10144183  0.69599598  0.89548584
  0.45227591  0.70949883]","[ 0.06393462  3.69044007  2.42677748 -4.36691754  0.81641191  0.96618116
  0.52944242  0.76931921]","[ 0.07140526  3.55115179  3.0594178  -5.62504282  0.76334019  1.00886756
  0.54805723  0.76865593]",345.2015,0.591,9,0.0228,6,0.2717,5,0.0031,10,0.57504,0.58761,0.58783,0.58311,0.5871,0.59068,0.58538,0.58601,0.59095,0.579
Batch_06,"[ 0.1170559   3.4007898   2.19156641 -6.70710612  1.1484804   0.51192748
  0.32025416  0.53076275]","[ 0.31091562  2.53139343  0.60507049 -3.58597309  0.36796646  0.85493699
  0.72240265  0.93491175]","[ 0.13830543  3.29436307  1.54095554 -4.66215032  0.99681576  0.55833568
  0.33092542  0.57226828]","[ 1.11808042e-08  2.13110307e+01  5.99190961e+00 -1.73671485e+01
  2.03387887e+00  7.26480013e-01  5.08076830e-01  7.57351154e-01]","[ 8.07921750e-05  1.11463649e+01  4.14840552e+00 -1.26934305e+01
  1.01642314e+00  1.62044749e+00  1.44973759e+00  1.67403161e+00]","[ 0.03313949  4.44852408  3.07200646 -9.20174533  1.13643694  1.0326122
  0.83013676  1.04108673]","[ 1.90845348e-04  1.00514829e+01  4.15061010e+00 -1.32443785e+01
  1.44498984e+00  1.23086467e+00  1.06912368e+00  1.29563872e+00]","[ 3.29547482e-05  1.21082733e+01  4.65525187e+00 -1.41841454e+01
  1.24499425e+00  1.47262385e+00  1.26327541e+00  1.48946655e+00]","[ 1.04211822e-02  5.55947243e+00  3.32372637e+00 -1.06251625e+01
  1.22028836e+00  1.18810327e+00  1.02444520e+00  1.23228875e+00]","[ 4.64503286e-04  9.12614441e+00  4.38794897e+00 -1.28029878e+01
  1.69312388e+00  8.49459457e-01  6.32544635e-01  9.05644094e-01]",874.02154,0.6553,7,0.0202,5,0.2978,7,0.0034,8,0.63433,0.63867,0.63867,0.65099,0.65431,0.64909,0.65533,0.6513,0.65394,0.64989
Batch_07,"[ 0.28007785  2.90793855  0.72693295  1.07552919 -8.45969776  8.94841141
  9.04695019  8.79438067]","[ 0.27418823  2.8833721   0.89864453  0.38304223 -0.03943736  0.6290991
  0.69543668  0.48485116]","[ 0.84240469  1.95575806  0.06402701  1.81623194  3.24108936 -3.81178905
 -3.77688823 -3.85420358]","[ 0.02597367  5.07000701  2.50784823 -4.22682098  0.99087813  0.60393962
  0.77582594  0.55719   ]","[ 0.13355545  3.55597154  1.06868238 -0.51830859  0.51578661  0.5175607
  0.58202133  0.4065907 ]","[ 0.10540091  3.80370556  1.32715996 -1.29826475  0.59704463  0.56534768
  0.64344964  0.45105856]","[  0.48734624   2.34113759   0.70953428   0.87948058  20.72382829
 -20.56674187 -20.43743296 -20.69637683]","[  0.36100072   2.62816831   0.974141     0.18195582  12.71935439
 -12.31618987 -12.2536126  -12.47777857]","[  0.36465332   2.61701432   0.66096272   0.64375989 -20.99937693
  21.39462373  21.49098988  21.27944804]","[ 0.31371904  2.76855585  0.77367942  0.6740492   8.712341   -8.23256205
 -8.17851166 -8.35276682]",2145.041487,0.5664,9,0.0473,7,0.3912,5,0.0171,1,0.56289,0.56559,0.55994,0.56342,0.56479,0.56301,0.5644,0.56448,0.56639,0.56545
Batch_08,"[   1.38880037    1.30131854    1.3114317    -3.5988439   199.99679325
 -200.57308124 -200.45783916 -200.57069398]","[ 0.12079988  3.23322237  4.23917707 -9.70454136  0.68330959  0.85375704
  0.83684499  0.77992354]","[ 0.24393982  2.69386077  2.85054163 -6.12777735  0.62561841  0.5412526
  0.65522423  0.43966882]","[ 0.23126957  2.69279183  2.47020366 -5.80108183  0.63640794  0.63401695
  0.71585119  0.54529033]","[ 1.02321182  1.36390639  3.25190471 -7.17216102 -2.76466004  2.88300061
  2.89211122  2.76049486]","[ 0.20196741  2.80286126  2.58916678 -6.29261025  0.6691504   0.66954819
  0.77256865  0.62263966]","[ 0.58482006  1.87783206  1.91933364 -5.01655102  0.48459487  0.18177245
  0.32737767  0.12686754]","[ 0.28792237  2.44049381  1.36956888 -4.8569083   0.66253899  0.64571986
  0.75937344  0.64180177]","[ 0.08307904  3.63305612  3.26235155 -8.40300941  0.82595178  0.90750353
  1.02338086  0.85390675]","[ 0.15041404  3.05155243  3.1571944  -7.6799616   0.74809638  0.7765828
  0.82900413  0.69343495]",401.6022545,0.5128,5,0.0532,8,0.3823,5,0.016,3,0.49955,0.50282,0.4745,0.49975,0.51282,0.50199,0.49502,0.50747,0.48563,0.49831
Batch_09,"[ 0.33810046  2.61018105 -0.55841442 -0.36779127 -0.61880507  1.26358027
  2.20642799  1.57789025]","[ 0.28919118  2.68024524 -1.22432455 -0.08800088  0.59944232  0.36366742
  1.32794224  0.64896012]","[ 2.16258425e+00  1.18045693e+00 -1.91781037e+00  3.05705155e+00
 -3.65291612e+03  3.65084134e+03  3.65174591e+03  3.65107919e+03]","[ 0.39771813  2.39579489 -0.82763661 -0.44719281  0.79694479 -0.10029776
  0.83730324  0.11322186]","[ 0.15304409  3.39899453  1.14552803 -2.91310189  0.42287776  0.49750983
  1.40849005  0.79281566]","[ 1.6930128   1.35634476 -1.62038656  2.90529066  7.06444747 -8.64954447
 -7.77914887 -8.39797699]","[ 0.44055737  2.29085104 -0.10092038 -1.3505837   0.30022839  0.26578331
  1.17082496  0.53951692]","[ 6.21065240e-08  1.92962906e+01  5.13673517e+00 -1.58540237e+01
  1.23414141e+00  1.46636897e+00  2.25322939e+00  1.43440753e+00]","[ 1.00492697e-04  1.09835908e+01  2.28168481e+00 -9.48167439e+00
 -6.64961252e+00  9.19183591e+00  1.00769682e+01  9.45294189e+00]","[ 0.15188061  3.31160259  0.05376928 -2.57317749  0.9678261   0.2746458
  1.19632205  0.51135166]",7303.39942,0.426,8,0.1274,3,0.4612,4,0.0213,3,0.41231,0.4208,0.41882,0.42385,0.39636,0.41868,0.41872,0.42601,0.42012,0.41574
Batch_10,"[ 4.46553795e+03  2.10927413e-03 -1.22975108e+01  1.30113659e+01
 -2.23409206e+03 -2.23097165e+03 -2.23082636e+03 -2.23071765e+03]","[ 4.00678611e+03  3.06878045e-03 -1.18925538e+01  1.35127361e+01
 -2.00623484e+03 -2.00238414e+03 -2.00228813e+03 -2.00200954e+03]","[ 4.29429105e+03  2.19343217e-03 -1.19668384e+01  1.34853915e+01
 -2.13079696e+03 -2.16307545e+03 -2.16305514e+03 -2.16284078e+03]","[ 1.05296273e+03  6.21993598e-03 -7.45019898e+00 -7.25799930e-01
 -5.24710086e+02 -5.25634893e+02 -5.25773314e+02 -5.25708839e+02]","[ 4.36071499e+03  2.75652679e-03 -1.54369763e+01  2.35018863e+01
 -2.18429517e+03 -2.17793662e+03 -2.17754956e+03 -2.17744809e+03]","[ 2.07172303e+03  3.30350778e-03 -7.89474833e+00 -2.08374922e+00
 -1.03634936e+03 -1.03317473e+03 -1.03275889e+03 -1.03284195e+03]","[ 3.78357125e+03  2.23282240e-03 -9.40947887e+00  4.14391808e+00
 -1.89070134e+03 -1.89181759e+03 -1.89152289e+03 -1.89151920e+03]","[ 4.54422281e+03  2.13058592e-03 -1.13069267e+01  1.11321317e+01
 -2.27577025e+03 -2.26826897e+03 -2.26818731e+03 -2.26801786e+03]","[ 4.45870474e+03  2.17336795e-03 -1.09425785e+01  7.48228613e+00
 -2.22967636e+03 -2.22881510e+03 -2.22848559e+03 -2.22851664e+03]","[ 4.42490768e+03  2.24338160e-03 -1.13250246e+01  1.28141621e+01
 -2.21234999e+03 -2.21265337e+03 -2.21248845e+03 -2.21242686e+03]",17509.43407,0.4824,7,0.0373,4,0.9709,7,0.075,1,0.47445,0.45134,0.47237,0.47658,0.45767,0.47889,0.48237,0.47491,0.4712,0.48106
