Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[  -0.1346851     1.98917888   -2.60977123 -110.1140303   109.57403415
  109.70713228  109.65935549   13.14923708]","[ 1.84103917e-02  1.78271567e+00 -2.28011589e+00 -1.10083837e+02
  1.09585894e+02  1.09710485e+02  1.09672161e+02  1.23922040e+01]","[-5.18200745e-02  1.91139467e+00 -2.41127684e+00 -1.10076775e+02
  1.09518175e+02  1.09668345e+02  1.09607095e+02  1.28811757e+01]","[ 6.63945320e-02  1.51862993e+00 -1.81645447e+00 -1.10260157e+02
  1.09618956e+02  1.09761151e+02  1.09718040e+02  1.32251793e+01]","[  -0.20993639    2.19273054   -2.88095912 -110.24738015  109.69111269
  109.81488902  109.78031989   13.41793098]","[  -0.27587914    2.26149407   -3.04162451 -109.99097137  109.48305387
  109.6130421   109.55842058   13.40477155]","[  -0.161288      1.91577273   -2.35203126 -110.24911627  109.61157081
  109.76645145  109.70741235   13.7455638 ]","[  -0.35178203    2.19346564   -3.00474724 -110.25927877  109.80340456
  109.95834541  109.90737142   13.26983148]","[-6.45139073e-02  1.93965067e+00 -2.46665870e+00  1.09810156e+02
 -1.10388449e+02 -1.10260821e+02 -1.10308807e+02  1.31334660e+01]","[  -0.38860047    2.41462555   -3.52132161 -109.94434417  109.49746568
  109.64087924  109.59620741   13.39857569]",695.9674136098832,0.8599,2,0.0123,2,0.0859,1,0.0003,3,0.85189,0.8598800000000001,0.85775,0.8541399999999999,0.84435,0.8514200000000001,0.8527100000000001,0.85473,0.85099,0.8078100000000001
Batch_02,"[   0.23174008    0.77250362   -0.82546525  113.14432345 -113.28828953
 -113.17572022 -113.27418374   10.07003689]","[   0.13123729    0.82309228   -0.84110065  113.23759904 -113.38619179
 -113.22704714 -113.33619967   10.17935028]","[   0.17877257    0.57446126   -0.63017398  113.46599627 -113.57444396
 -113.48132845 -113.58040612   10.23333988]","[   0.11332011    0.50599322   -0.55506854  113.17239516 -113.29497845
 -113.22009177 -113.2908078    10.61422341]","[ 1.04414164e-01  5.78330352e-01 -5.38891684e-01  1.13250762e+02
 -1.13387993e+02 -1.13266070e+02 -1.13346752e+02  1.04240151e+01]","[ 1.10540963e-01  6.28415662e-01 -8.35151671e-01  1.13257261e+02
 -1.13273098e+02 -1.13164869e+02 -1.13249356e+02  9.93887624e+00]","[   0.11747383    0.74119108   -0.92926609  113.13007657 -113.21112289
 -113.13695029 -113.20820901   10.24382562]","[   0.23415873    0.61598209   -0.76850267 -113.27565954  113.1892319
  113.20974702  113.13471148   10.22773378]","[   0.20479839    0.60979294   -0.69176465  113.38333946 -113.45450024
 -113.35793933 -113.42003289    9.91360886]","[   0.25231107    0.71380258   -0.7914352   113.40014101 -113.51438412
 -113.43287644 -113.50759923    9.96948669]",717.3524155982665,0.9574,7,0.0005,7,0.1173,10,0.001,2,0.9561999999999999,0.9549799999999999,0.95686,0.9566000000000001,0.9564900000000002,0.9572,0.9573900000000002,0.9572700000000001,0.9570299999999999,0.9572799999999999
Batch_03,"[-1.11005345e-03  1.14917201e+00 -1.72465484e+00 -1.11767155e+02
  1.11651721e+02  1.11694001e+02  1.11659599e+02  1.13500201e+01]","[  -0.1419864     1.21843273   -1.92213827 -111.63563387  111.58477499
  111.62948133  111.59676059   11.4620474 ]","[ 3.14800114e-02  1.18321043e+00 -1.77646825e+00 -1.11632401e+02
  1.11495400e+02  1.11536491e+02  1.11477998e+02  1.14181154e+01]","[  -0.17858116    1.14047196   -1.82134321  111.58188921 -111.66582055
 -111.60942968 -111.65660575   11.84419194]","[   0.11546012    1.06975403   -1.55322274  111.55811994 -111.72241944
 -111.69104686 -111.72498406   11.25367287]","[ 3.76464074e-02  1.04799032e+00 -1.48327148e+00  1.11569674e+02
 -1.11751987e+02 -1.11679515e+02 -1.11740093e+02  1.15382523e+01]","[   0.12804984    1.04161292   -1.45762933  111.58765823 -111.78334751
 -111.73502729 -111.76739542   11.35340304]","[   0.23309029    0.97716379   -1.22101001  111.42871613 -111.71162786
 -111.66214996 -111.7077266    11.4353658 ]","[-7.17945887e-02  1.26531966e+00 -1.74953283e+00  1.11629453e+02
 -1.11801764e+02 -1.11723290e+02 -1.11752727e+02  1.16343117e+01]","[  -0.19896978    1.55978226   -2.51955738 -111.66947643  111.68661552
  111.74572763  111.73006047   11.11626955]",707.16371675898,0.9204,8,0.0039,4,0.1165,1,0.001,4,0.9191100000000001,0.9191399999999998,0.9194700000000001,0.92014,0.91913,0.9201799999999999,0.91902,0.92043,0.91884,0.91419
Batch_04,"[   0.30541129    1.78880829   -1.87623079  112.33178841 -112.75614279
 -112.55647973 -112.54820663    9.90146849]","[ 1.05624610e-01  2.53432365e+00 -3.14285600e+00  1.12495669e+02
 -1.12764588e+02 -1.12624700e+02 -1.12590879e+02  9.57998014e+00]","[  -0.19409471    2.41014676   -3.39050041  112.62468762 -112.76784759
 -112.57546213 -112.58600704   10.1523333 ]","[ 4.15967805e-02  2.09669423e+00 -2.76668515e+00  1.12434450e+02
 -1.12720059e+02 -1.12492417e+02 -1.12515589e+02  1.00080349e+01]","[   0.25824803    0.87313391   -1.64914133 -112.84916865  112.48249939
  112.91957079  112.77645243   10.27637746]","[   0.2749028     2.02129918   -2.37659172  112.38543702 -112.7811931
 -112.56481072 -112.56165828    9.75417125]","[ 9.27703154e-02  2.24126046e+00 -2.91829027e+00 -1.12779766e+02
  1.12497700e+02  1.12692466e+02  1.12698159e+02  9.84730686e+00]","[ 9.80262179e-02  2.10802074e+00 -2.72667730e+00  1.12643318e+02
 -1.12897463e+02 -1.12708043e+02 -1.12707145e+02  9.74240502e+00]","[ 6.67538474e-02  1.95516208e+00 -2.42347900e+00  1.12522588e+02
 -1.12753486e+02 -1.12576470e+02 -1.12570802e+02  9.85209839e+00]","[ 1.00474982e-01  2.27789789e+00 -2.95457973e+00 -1.12510129e+02
  1.12226263e+02  1.12442290e+02  1.12432256e+02  9.74373272e+00]",712.9698082556954,0.8637,2,0.0619,2,0.1665,5,0.0084,2,0.86065,0.8636900000000001,0.8609200000000001,0.8594900000000001,0.83209,0.8608100000000001,0.8614599999999999,0.8613099999999999,0.8611600000000001,0.8609600000000001
Batch_05,"[   0.20001554    1.669587     -2.42036142  113.56772438 -114.06664461
 -114.01656091 -113.88842743   10.88567576]","[ 3.99941533e-02  1.84031592e+00 -3.07649610e+00  1.13479099e+02
 -1.13829517e+02 -1.13806800e+02 -1.13675366e+02  1.07837964e+01]","[   0.32789948    1.55319072   -2.36970547  113.57613615 -114.03409527
 -114.02303456 -113.87311439   10.44368849]","[   0.25426432    1.63529744   -2.05146625  113.45982976 -113.96653047
 -113.9063608  -113.82718613   10.64869492]","[   0.29060934    1.64876214   -2.32441433  113.55471126 -114.05291908
 -114.03816182 -113.90409946   10.63872649]","[   0.35031911    1.62703124   -2.20255954  113.35820037 -113.93227955
 -113.8959871  -113.77580851   10.78959805]","[   0.3928487     1.67068749   -2.14414641  113.39601589 -113.96672259
 -113.9442469  -113.81492433   10.53425234]","[ 3.01021251e-02  1.88263965e+00 -2.86888701e+00 -1.13885570e+02
  1.13482839e+02  1.13556241e+02  1.13643850e+02  1.09071097e+01]","[   0.20316761    1.82082564   -2.72299536  113.54609029 -113.99136638
 -113.95983928 -113.86214452   10.71829873]","[   0.16409245    1.47557708   -1.94927082  113.52604781 -114.0265105
 -113.97982091 -113.86685617   11.19596668]",720.5936823638012,0.8593,6,0.0033,7,0.1437,6,0.0005,2,0.8582000000000001,0.8574200000000001,0.8583299999999999,0.85829,0.85915,0.85931,0.85915,0.8584400000000001,0.8588100000000001,0.85778
Batch_06,"[  -1.60798773    2.245101     -6.38969549  113.73782167 -113.08450755
 -112.94727327 -113.02483535   12.23407625]","[  -0.91287899    1.92126958   -5.22227395 -113.09668962  113.30926284
  113.46691686  113.42767227   11.84367939]","[  -1.35412909    2.44730156   -6.61393619 -112.93721697  113.45799618
  113.588068    113.52548204   11.93011937]","[  -1.32278536    2.46147443   -6.0336891  -112.90994805  113.29799945
  113.43174201  113.36563895   12.14969582]","[  -1.41425999    2.48172999   -6.45379374 -113.04940176  113.55050433
  113.67605302  113.61778761   12.08058172]","[  -1.17797576    2.22272013   -5.82506781 -113.05992995  113.43154527
  113.57234294  113.51910996   11.91942212]","[  -1.68021624    2.8468041    -7.72730358 -113.06106225  113.71532613
  113.84259023  113.79547454   12.28217943]","[  -1.36251899    2.37108739   -6.53778406  113.5831674  -113.08159338
 -112.9368467  -112.98981403   11.97948122]","[  -1.44780346    2.43947351   -6.60847528 -113.05229817  113.60869981
  113.74264708  113.67520341   12.0627868 ]","[  -1.22515242    2.34656569   -6.0903942   113.60865609 -113.20181449
 -113.06424197 -113.11952674   11.88624415]",718.2627125264572,0.8856,8,0.0079,2,0.1311,10,0.001,7,0.8840899999999999,0.8847400000000001,0.88451,0.88275,0.88461,0.88548,0.8844099999999999,0.8855599999999999,0.8848100000000001,0.8853
Batch_07,"[   0.197753      0.84610393   -1.21306402 -113.52549854  113.2573828
  113.36937587  113.23651871   10.88203482]","[   0.32251936    0.5630644    -0.91421862 -113.56736473  113.23382879
  113.39064377  113.29416916   10.77716258]","[   0.11794038    0.734856     -1.24049213 -113.53108384  113.24299741
  113.38781593  113.28905613   11.22979435]","[   0.20431622    0.61126302   -0.82090926 -113.43538872  113.09207213
  113.2367258   113.11763892   11.18366622]","[   0.16608634    0.62439035   -0.98259374 -113.41981873  113.13552933
  113.28660398  113.18100996   11.03793556]","[ 7.85350429e-02  8.53312978e-01 -1.36144120e+00 -1.13400162e+02
  1.13191734e+02  1.13338671e+02  1.13203052e+02  1.09276893e+01]","[   0.37824071    0.51932583   -0.47070099 -113.5884471   113.19756707
  113.34391708  113.21832837   10.85599599]","[   0.13475599    0.82561436   -1.46705023 -113.35106309  113.11453398
  113.25931264  113.13851721   10.9041701 ]","[   0.25686769    0.64560757   -1.04076786  113.39289582 -113.66590195
 -113.52133735 -113.64270336   10.72245956]","[   0.13994422    0.77541298   -1.1160884  -113.52204832  113.23925116
  113.37661583  113.25470954   11.09619648]",717.6112356179053,0.9337,8,0.0016,3,0.119,9,0.001,3,0.9323499999999999,0.9333600000000001,0.93316,0.9333,0.9337199999999999,0.9334999999999999,0.9331800000000001,0.9337499999999999,0.93354,0.9334
Batch_08,"[  -0.63498981    3.62953647   -7.10054748 -113.12712246  113.1193751
  113.26281391  113.19565139    9.73288752]","[  -0.36197062    3.09335574   -5.69532149 -113.16662637  113.02205958
  113.18996741  113.11867606    9.41633019]","[  -0.6721846     3.363588     -6.75176007 -113.09608968  113.1390707
  113.28353075  113.21059316    9.74200742]","[  -0.39562017    3.20909516   -5.87317325 -113.22501144  113.07322666
  113.21748401  113.15789556    9.51938199]","[  -0.82153066    3.61206251   -7.34047196 -113.06313014  113.14208381
  113.28330433  113.22250403   10.00644753]","[  -0.61813471    3.36864029   -6.77516155 -113.14480094  113.20320611
  113.34124641  113.2685422     9.50529148]","[  -0.51773732    3.05879459   -6.29955547 -113.16341728  113.1695546
  113.34947704  113.25893756    9.45739249]","[  -0.4482194     3.22315818   -6.25976769 -113.23709077  113.18750041
  113.36058151  113.28466152    9.27908298]","[-1.06452616e-01  2.53947102e+00 -3.99940625e+00 -1.13264331e+02
  1.12945695e+02  1.13093194e+02  1.13018709e+02  9.54144823e+00]","[  -0.56108966    3.01543198   -6.02427237 -113.08412233  113.06881587
  113.23046006  113.16120474    9.68647597]",716.7974891176093,0.8032,2,0.0313,8,0.1466,3,0.0008,8,0.7995300000000001,0.8032199999999999,0.7988500000000001,0.8010400000000001,0.7981300000000001,0.7983,0.79943,0.8031,0.79857,0.8004199999999999
Batch_09,"[   0.30022243    1.5024621    -1.67870355  113.6928274  -114.08479854
 -114.09836122 -114.02659066    9.27805363]","[   0.4538564     1.40280883   -1.18266781  113.61984847 -114.12047135
 -114.15421631 -114.07330693    9.24107964]","[   0.43173697    1.59861594   -1.66722157  113.47796458 -113.976567
 -113.98217501 -113.91859551    9.24785969]","[   0.28669965    1.84488401   -2.46091936  113.57085239 -113.96257373
 -113.98505104 -113.90938427    9.2439382 ]","[   0.46815537    1.18903937   -0.95012302  113.61274105 -114.07044333
 -114.08074921 -114.0216673     9.11280284]","[   0.49176149    1.53835143   -1.56314995  113.59899266 -114.13799883
 -114.13674453 -114.06893732    9.21898645]","[   0.48803867    1.53391386   -1.52688743  113.64720625 -114.1415008
 -114.14863428 -114.07371121    9.0264925 ]","[   0.29760044    1.92990203   -2.38230737 -113.99067574  113.66244433
  113.60990995  113.6813339     8.90528519]","[   0.5678208     1.30156392   -0.86773583  113.57356422 -114.14164882
 -114.15941554 -114.07420421    9.18170894]","[   0.52223902    1.22816619   -0.83709576  113.58985881 -114.13825309
 -114.1427057  -114.06707489    9.28804926]",721.1810361884654,0.8978,8,0.0027,8,0.1213,2,0.0008,10,0.8964399999999999,0.8970100000000001,0.8953599999999999,0.8964700000000001,0.8960800000000001,0.89544,0.8973799999999998,0.89785,0.89696,0.89528
Batch_10,"[   0.46132631   -0.51280405    2.04008327 -118.55128057  118.73942057
  118.66132999  118.69710754    8.5136151 ]","[   0.77342615   -0.42948011    3.10225829 -118.7825856   118.63434804
  118.58479759  118.59516397    8.53326371]","[   0.84659192   -0.36560959    2.95731574 -118.84838217  118.5710978
  118.50799238  118.53173267    8.71106281]","[   0.64966319   -0.4882832     2.88248952 -118.69663971  118.68771478
  118.62890144  118.62657171    8.51815071]","[   0.84767022   -0.89943769    4.01785584 -118.81442268  118.70001693
  118.65994469  118.67073279    8.46488908]","[   0.81482851   -0.26215912    2.48642169 -118.70007531  118.50310002
  118.42288792  118.45648026    8.5941344 ]","[   0.33597157   -0.19527842    1.38700307 -118.49148822  118.72440182
  118.67475274  118.72274712    8.49130473]","[   0.9080312    -0.65945823    3.72965792 -118.79012596  118.53456943
  118.48398223  118.49800889    8.57467192]","[   1.43979793   -1.45045577    6.82263113 -119.01456025  118.35806479
  118.28546374  118.3318641     8.63573917]","[   1.0372459    -0.5193373     3.36469465 -118.85853476  118.58305818
  118.52168402  118.55220359    8.37226572]",750.7817884372391,0.9492,10,0.0008,10,0.1679,5,0.0009,4,0.9473800000000001,0.9484400000000001,0.9478399999999999,0.9481300000000001,0.9480700000000001,0.9484600000000001,0.94809,0.94784,0.9474,0.94915
