Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[   3.67712041   -2.27837594    3.87710263 -109.28281771  109.79224268
  109.34663614  109.56369938]","[   2.90114972   -1.50400593    2.41645572 -109.09796238  109.97798748
  109.60223283  109.71783053]","[   3.28956413   -1.38353177    2.54555763 -109.17186323  109.7850012
  109.42762784  109.60425258]","[   3.1576527    -1.39473444    2.36296144 -109.274643    110.03319575
  109.61348277  109.77788405]","[   3.15716544   -1.34596296    2.25970542 -109.27956211  110.04236836
  109.63227189  109.78577975]","[   3.10729897   -1.04955566    1.82953806 -109.05614341  109.80360146
  109.40311997  109.59400411]","[   3.2041474    -1.29567737    2.15937874 -109.27814185  109.97187508
  109.58542394  109.78469284]","[   3.68398877   -2.14849466    3.92978706 -109.5075567   109.93589849
  109.53723184  109.73232928]","[   3.26466868   -1.55804022    2.66863158 -109.36570838  110.06305016
  109.65358097  109.83146425]","[   3.54457794   -2.19912243    3.86897874 -109.13862531  109.69579914
  109.29111444  109.47189633]",693.2552767735253,0.527,8,0.0463,8,0.1701,3,0.0015,10,0.50946,0.5064200000000001,0.51889,0.48459,0.47552000000000005,0.49895000000000006,0.5250599999999999,0.5269800000000001,0.4888199999999999,0.46498000000000006
Batch_02,"[   4.84384566    0.54304998    1.92096613 -112.74267013  111.81720687
  112.32422488  112.28557767]","[   5.28986278   -0.21873733    2.79239327 -112.86302499  111.89367722
  112.26427866  112.13500487]","[   5.23082707    0.35820294    2.50026511 -113.13990758  111.97261127
  112.4451681   112.39255016]","[   5.13208929    0.23631115    2.55332204 -112.81974691  111.74174764
  112.23158311  112.1341552 ]","[ 5.55639281e+00 -7.25208081e-02  3.19992580e+00 -1.12977107e+02
  1.11702026e+02  1.12164791e+02  1.12052431e+02]","[   5.10059415    0.13515537    2.80392033 -112.83762386  111.7527309
  112.26611798  112.13936273]","[   5.28817481   -0.52064589    3.36886884 -112.78701731  111.76329423
  112.19648129  112.00449933]","[   5.12499503    0.37566698    2.36862957 -112.84743697  111.75151922
  112.24550597  112.16452423]","[   5.28306053    0.16257735    2.62134635 -113.01070441  111.87627638
  112.34263328  112.28984135]","[   5.25868625    0.37993603    2.30085103 -113.0454327   111.92921412
  112.35692725  112.28492973]",710.4932719759005,0.7766,6,0.0176,3,0.3663,7,0.0168,1,0.76941,0.7716000000000001,0.7712399999999999,0.77424,0.7658699999999999,0.77662,0.7765299999999999,0.77294,0.7660099999999999,0.77078
Batch_03,"[ 4.67154966e+00 -7.00053419e-02  1.67560581e+00 -1.11268490e+02
  1.10765610e+02  1.10818304e+02  1.11005390e+02]","[   4.39988527    0.60138228    0.61215294 -111.12989726  110.72234662
  110.78858859  111.03709262]","[ 4.77385503e+00 -4.80544344e-02  1.93046763e+00 -1.11164467e+02
  1.10561248e+02  1.10628458e+02  1.10840582e+02]","[   4.65172172    0.54301758    1.08526325  110.72626008 -111.32161266
 -111.29384684 -111.09097359]","[   5.13243965   -0.86112031    3.0275573   110.67922881 -111.37153863
 -111.36537562 -111.13649744]","[   3.63898178    0.57992057   -0.24439694  111.13252138 -110.96267771
 -110.92534268 -110.68830626]","[   4.34692522    0.70462754    0.33391971  110.89477695 -111.26441998
 -111.19699971 -110.96811816]","[   4.46676511    0.21087283    0.93284604 -111.06633493  110.70602361
  110.73500443  110.93045029]","[   5.06756763   -0.32056523    2.90372619  110.68777717 -111.56816848
 -111.41225333 -111.27694928]","[   4.08563495    0.92821738   -0.22997757  110.99076882 -111.18270831
 -111.14432588 -110.89613866]",702.2504640927172,0.5227,9,0.0568,9,0.385,4,0.0286,2,0.51731,0.50093,0.5103500000000001,0.51908,0.50582,0.4992200000000001,0.5043499999999999,0.5158699999999999,0.52267,0.50059
Batch_04,"[   6.50245285   -3.69429855    8.27101163 -112.08856121  111.32401176
  110.68801314  110.95028816]","[   5.76326702   -2.31629403    5.92427376 -112.00912272  111.73733098
  110.87813833  111.18413396]","[   6.42598697   -3.81652137    8.46128459 -112.20335891  111.57697491
  110.84740181  111.06458317]","[   6.79020637   -4.46682195    9.59210619 -112.16009418  111.36105497
  110.63482436  110.86833483]","[   5.73512511   -2.73739838    6.60246653 -112.1219719   111.9513018
  111.05135993  111.3240213 ]","[   5.43522137   -3.06893081    6.21673351  111.37992708 -111.23453217
 -112.09573715 -111.90828902]","[   5.41604675   -2.60754867    5.18605846 -111.91445171  112.00507724
  111.21730046  111.44673203]","[   5.63850653   -2.96475157    6.25977019  111.48058429 -111.5389095
 -112.34895089 -112.12620902]","[   6.11528057   -3.54394122    6.9199064   111.24675684 -111.59035573
 -112.27020624 -112.16909266]","[   5.19938713   -2.03949845    4.28247079 -111.64344093  111.86185449
  111.04951383  111.23814078]",706.1402990176027,0.7689,1,0.0141,2,0.4646,3,0.0176,2,0.76895,0.7641099999999998,0.7684500000000001,0.76678,0.76352,0.76518,0.76814,0.7675799999999999,0.7670600000000001,0.76651
Batch_05,"[   3.63312802    1.56068735   -2.11343816 -113.06196948  113.28679458
  112.80559554  113.03838102]","[   3.76722035    0.63976892    0.14625893 -112.94635038  113.10467271
  112.63131758  112.87148878]","[   3.9680593     0.54833631    0.69057654 -113.16414967  113.15651173
  112.68947882  112.96015094]","[   3.73205485    1.41311766   -1.01821575 -113.03948612  113.1154726
  112.70094133  112.86319124]","[   3.90202402    0.79596597    0.33040629 -113.14497431  113.15725346
  112.71289432  112.93004143]","[ 3.61252670e+00  9.75431059e-01 -7.44513600e-02 -1.12926573e+02
  1.13080123e+02  1.12682080e+02  1.12881915e+02]","[   4.70114351   -0.36770303    3.37949422 -113.2938188   112.76856231
  112.31405415  112.5873534 ]","[   4.23660389    0.4648082     1.52498746 -113.23501768  112.98371646
  112.51020254  112.79279522]","[   4.01281108    0.40939119    1.24326889 -113.17146966  113.10113576
  112.64565709  112.89460007]","[   3.91352154    1.12683035   -0.1613485  -113.15140177  113.13796506
  112.6594485   112.89052937]",714.3467536948914,0.5665,9,0.0245,6,0.2802,9,0.003,10,0.54495,0.56375,0.56161,0.55829,0.5619900000000001,0.56632,0.5597099999999999,0.56025,0.56647,0.5533
Batch_06,"[   5.95983987   -0.52661138    1.84586776 -113.18301369  111.99300684
  111.80560355  112.01884376]","[   5.92266946   -1.69370429    3.52280964  111.90697111 -112.94295768
 -113.07718025 -112.86313854]","[   6.34273475   -1.46409353    4.69781993 -113.17777195  111.75740005
  111.52138435  111.76275121]","[   4.14529941    1.79007014   -4.26927947  112.30525294 -112.31416552
 -112.51999182 -112.28979274]","[   5.97686394   -1.08037773    3.74483411  111.88612694 -113.12430545
 -113.29303221 -113.07772147]","[ 5.10678001e+00  1.59372267e-01 -2.42842910e-02  1.12133208e+02
 -1.12729880e+02 -1.12936052e+02 -1.12725127e+02]","[   5.66966904   -0.69461068    2.27229301  112.0796475  -113.07490499
 -113.23510854 -113.01611335]","[   5.30030041   -0.17843304    0.9125656  -112.8754498   112.14962045
  111.93807831  112.15836898]","[   4.74559562    0.3966366    -1.30659071  112.35278295 -112.69943123
 -112.85990935 -112.6592745 ]","[   5.54573017    0.1601615     0.67599852 -113.0606885   112.08804862
  111.86905251  112.13121161]",711.7308300787573,0.6366,9,0.0284,4,0.3028,7,0.0034,5,0.61711,0.62371,0.6202,0.6340300000000001,0.63301,0.63275,0.63478,0.63244,0.63656,0.62737
Batch_07,"[   7.07234134   -1.32133501    7.03690857 -113.72179683  111.52626665
  111.58174898  111.34557418]","[   6.85924287   -1.22480522    6.35811349 -113.67485228  111.64536379
  111.68524148  111.5010988 ]","[   7.12192779   -1.55404116    6.41123643 -113.70411781  111.54940295
  111.56031716  111.49574905]","[   5.84056157   -0.11516916    3.24993485 -113.22773648  111.79903052
  111.92244573  111.73263497]","[   6.70527693   -1.3748244     6.27834084 -113.48452308  111.58677099
  111.61174883  111.46099139]","[   6.54194965   -1.04940072    5.35310394 -113.42043645  111.66000076
  111.69884071  111.52346205]","[   6.47456803   -0.87887009    5.40222388 -113.50381011  111.73369129
  111.8342034   111.59050859]","[   6.55660018   -0.70798654    4.98318727 -113.40042125  111.58610494
  111.62114232  111.41064719]","[   6.64767408   -1.02097825    5.44579071 -113.64547911  111.76686434
  111.83574453  111.63914271]","[   6.96515237   -1.33221069    6.78700239 -113.67821104  111.58039709
  111.5989359   111.43446103]",709.5632538601349,0.5569,4,0.0472,7,0.3966,5,0.0163,1,0.55273,0.5555,0.5498900000000001,0.5569000000000001,0.55486,0.5552,0.55488,0.5555399999999999,0.55678,0.5538299999999999
Batch_08,"[ 5.04920386e+00  6.37999730e-02 -1.72544386e-02 -1.12587292e+02
  1.11966723e+02  1.12082915e+02  1.11975310e+02]","[   4.76935907    2.02249012   -3.30553034  112.00713334 -112.57101902
 -112.59373933 -112.63947748]","[ 5.28727086e+00  7.65835714e-01 -6.68161873e-02  1.11855381e+02
 -1.12711225e+02 -1.12604477e+02 -1.12808283e+02]","[ 5.02446346e+00  4.41735766e-01 -1.18689955e-02 -1.12658339e+02
  1.12009545e+02  1.12086107e+02  1.11925851e+02]","[   4.04295368    2.26805377   -4.36627119  112.26796762 -112.28812641
 -112.28146155 -112.4070162 ]","[   4.96147993    0.56527094   -0.47348323  112.05158188 -112.67612262
 -112.57950467 -112.71402098]","[   4.70050192    0.52579069   -1.01648711  112.16491546 -112.56616689
 -112.41971587 -112.61623206]","[   4.76550781   -0.41566879    0.44927306 -112.57612304  112.19042538
  112.29837883  112.1882138 ]","[   4.92707466    0.89870598   -1.58753156 -112.55644654  111.9827384
  112.09391736  111.93581948]","[   4.9281521     1.01353519   -1.40089411  111.96956738 -112.55307357
 -112.50517489 -112.62966839]",710.7020982461779,0.5134,5,0.0541,8,0.3828,6,0.0173,3,0.49971,0.50982,0.4798,0.5042500000000001,0.51335,0.50731,0.49646,0.51045,0.49415000000000003,0.50296
Batch_09,"[   6.84850568   -3.02426804    6.99881162 -113.6708148   111.66724256
  112.63058187  112.01716324]","[   6.33735902   -3.54543389    6.82524747 -113.42811882  111.88625266
  112.86969064  112.2105296 ]","[   6.46335033   -3.19015234    6.75026321 -113.34328149  111.71383827
  112.62989436  111.96958666]","[   6.1270029    -2.6330994     4.94483975 -113.29162886  111.86191345
  112.81964484  112.10352928]","[   7.59344055   -2.40682064    7.8075773  -113.95337875  111.26912076
  112.20579953  111.60634547]","[   6.66091955   -3.04212441    7.12548944 -113.60999357  111.76431785
  112.64354029  112.03790923]","[   6.0959251    -2.03217554    4.45917246 -113.39686781  111.91989954
  112.83703439  112.22318726]","[   5.35234996   -0.67864136    1.06881003 -113.17323745  112.23087856
  113.12390826  112.34450341]","[   6.051438     -2.63240898    5.72470095 -113.35635551  111.93901369
  112.85581198  112.27006729]","[   6.79965708   -3.01165473    6.49659672 -113.62561722  111.70575688
  112.65657749  111.99086785]",712.2680888648904,0.4212,4,0.1176,2,0.4633,4,0.0198,9,0.41008000000000006,0.41755000000000003,0.41664,0.42124000000000006,0.39579,0.41684,0.41623,0.41911000000000004,0.41445999999999994,0.41323999999999994
Batch_10,"[   9.43870905  -12.30245023   13.03159379  115.47077284 -115.00574291
 -114.86044426 -114.75173308]","[  12.32665295  -11.89512166   13.5227044  -116.07612767  114.23091047
  114.32690445  114.60551766]","[   9.43707442  -11.96856425   13.49294158  115.49081659 -115.07976991
 -115.05945146 -114.84508359]","[   6.58784809   -7.45719395   -0.69664256  116.47580232 -113.87550934
 -114.01388975 -113.94940856]","[  12.04860214  -15.43985696   23.51386538  114.67608693 -116.20460628
 -115.81754653 -115.71607337]","[   6.86767893   -7.90191657   -2.05455639 -113.93445091  116.12185138
  116.53773333  116.45467801]","[   8.46609476   -9.41295559    4.15869737 -114.56327177  115.60728577
  115.90199905  115.90569147]","[   9.70130295  -11.31113466   11.1491724   115.37921147 -115.20443643
 -115.12276068 -114.9533126 ]","[   9.71164417  -10.94727143    7.50285774  115.47826687 -115.27512507
 -114.94558681 -114.97666165]","[   9.94460208  -11.32583705   12.81721488  346.13664877 -346.23937223
 -346.07445521 -346.01283734]",980.0651779111603,0.4824,7,0.0373,4,0.9709,7,0.075,1,0.47446,0.45135000000000003,0.47237,0.47662000000000004,0.45770999999999995,0.47894,0.4823799999999999,0.47491000000000005,0.47119,0.48106
