Batch,FC_1,FC_2,FC_3,FC_4,FC_5,FC_6,FC_7,FC_8,FC_9,FC_10,L2-Norm,R2_Mean,R2_Max_Mean_Fold,R2_Variance,R2_Min_Variance_Fold,RMSE_Mean,RMSE_Min_Mean_Fold,RMSE_Variance,RMSE_Min_Variance_Fold,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Fold_6,Fold_7,Fold_8,Fold_9,Fold_10
Batch_01,"[ 1.88352277e+03  1.17420255e-03 -1.51023565e+00  1.47881761e+00
  1.06521596e+00 -3.24335664e+00 -1.88330507e+03 -1.88316804e+03
 -1.88322338e+03  5.38579855e+01 -2.93863563e+00]","[ 1.00801731e+03  1.89089246e-03 -1.44438322e+00  1.63572791e+00
  9.77474609e-01 -2.64792321e+00 -1.00769072e+03 -1.00755306e+03
 -1.00759119e+03  6.21197406e+01 -5.58051124e+00]","[ 1.10109439e+03  1.92176655e-03 -5.80821816e-01  5.63810237e-01
  6.58207334e-01 -2.97173103e+00 -1.10092573e+03 -1.10078256e+03
 -1.10085073e+03  4.05407965e+01  8.57245967e-01]","[ 1.01136223e+03  1.54025442e-03 -1.23174705e+00  1.45276801e+00
  5.93836064e-01 -1.95537683e+00 -1.01147782e+03 -1.01132839e+03
 -1.01138018e+03  4.18611979e+01  7.46559589e-01]","[ 2.64152761e+02  8.32379237e-03 -5.79969910e-01  5.49488518e-01
 -2.65580040e-02 -2.77433207e+00 -2.64002020e+02 -2.63879132e+02
 -2.63930014e+02  4.26311442e+01  5.38290347e-01]","[ 1.03453242e+03  2.35508771e-03 -7.91082223e-01  6.34938193e-01
  6.13650880e-01 -3.45608168e+00 -1.03423266e+03 -1.03410215e+03
 -1.03416791e+03  4.83479548e+01 -1.09613615e+00]","[ 1.66558823e+03  1.55661652e-03 -1.06530760e+00  8.58551748e-01
  2.13002999e+00 -4.25220869e+00 -1.66510232e+03 -1.66495643e+03
 -1.66501814e+03  5.80500390e+01 -4.01661890e+00]","[ 1.81407005e+03  1.87119831e-03 -2.11318208e-01 -5.31885573e-01
  2.84866539e+00 -6.19401750e+00 -1.81331123e+03 -1.81316847e+03
 -1.81322622e+03  4.44374962e+01 -3.16012005e-01]","[ 1.95839250e+01  9.31094080e-02 -9.93898789e-01  1.15213961e+00
 -8.16671823e-04 -2.20217996e+00 -1.94814234e+01 -1.93476684e+01
 -1.94082121e+01  4.79730120e+01 -1.19578519e+00]","[ 1.12038658e+03  1.69309138e-03 -7.77409982e-01  8.44494831e-01
 -1.98720829e+00 -1.65852645e+00 -1.12030697e+03 -1.12015000e+03
 -1.12021465e+03  4.77827730e+01 -7.11338701e-01]",7812.67237758061,0.8653,2,0.0132,4,0.0822,1,0.0003,3,0.8598100000000001,0.8653200000000002,0.8623200000000001,0.8634000000000001,0.8529,0.8590899999999999,0.8622200000000001,0.8619099999999997,0.8597199999999999,0.7771199999999999
Batch_02,"[ 1.47206326e+02  1.22006186e-03 -1.01857085e+00  5.30080696e-01
  2.65862410e+00 -2.00072561e+00 -1.47581696e+02 -1.47644928e+02
 -1.47731894e+02 -1.54371718e+01  1.75421278e+01]","[ 1.27732583e+02  1.45662419e-03 -7.07395428e-01  2.57810928e-01
  1.63521319e+00 -1.27297411e+00 -1.28161615e+02 -1.28155986e+02
 -1.28248392e+02 -1.41628968e+01  1.71839772e+01]","[ 2.57940895e+02 -1.38594820e-03 -1.25986379e+00  9.64799796e-01
  1.73162713e+00 -6.14183118e-01 -2.58552181e+02 -2.58616198e+02
 -2.58708491e+02 -1.53354080e+01  1.78509149e+01]","[ -0.89415346   1.2062358   -2.970472     3.67654448   1.09786032
   2.42529435  -0.65978099  -0.69688933  -0.77029765 -10.87144147
  16.15359688]","[ 5.73732336e+02 -1.59222816e-03 -1.80687780e+00  1.56455704e+00
  1.24170431e+00  6.49208798e-01 -5.74725499e+02 -5.74781521e+02
 -5.74843317e+02 -1.83422683e+01  1.96534758e+01]","[ 2.13707542e+02 -1.43433024e-03 -1.43189486e+00  1.24345704e+00
  1.81478345e+00 -6.53142790e-01 -2.14295572e+02 -2.14331399e+02
 -2.14405433e+02 -1.29530204e+01  1.65048290e+01]","[ 1.65566070e+02 -1.26038852e-03 -1.12044606e+00  8.03788166e-01
  1.50532438e+00 -7.06537457e-01 -1.66177999e+02 -1.66238418e+02
 -1.66305211e+02 -1.68813511e+01  1.81830550e+01]","[ -2.57742176   0.38263942  -1.57790099   1.8883282   -0.25522271
   1.90775193   1.38770201   1.2794175    1.21092308 -17.40535134
  18.80125692]","[ 2.86162423e+02 -1.65663130e-03 -1.59435146e+00  1.59310820e+00
  1.48830431e+00 -1.68789619e-01 -2.86868340e+02 -2.86910188e+02
 -2.86967424e+02 -1.29947949e+01  1.63489592e+01]","[ 3.04438053e+02 -1.73478581e-03 -1.57144638e+00  1.63083601e+00
  8.92895183e-01  3.06829510e-01 -3.05250428e+02 -3.05295691e+02
 -3.05363449e+02 -1.33166151e+01  1.66789461e+01]",1655.4680913159016,0.9622,10,0.0006,6,0.107,8,0.0014,2,0.96137,0.96051,0.96151,0.96175,0.9603499999999998,0.96196,0.9617000000000001,0.96189,0.9617100000000001,0.9622200000000001
Batch_03,"[ 6.25876116e+02  1.69047695e-03  2.13105600e+00 -2.71202941e+00
 -2.14396510e+00 -8.30460460e-01 -6.26111589e+02 -6.26074734e+02
 -6.26113138e+02 -2.34701698e+01  2.10103629e+01]","[ -0.15272455   3.11029769  -1.91706776   3.19569356  -0.4982909
   3.83760735  -2.28215934  -2.2506145   -2.29206215 -24.57575688
  21.70495813]","[ -0.30172712   2.77170457  -1.96972309   3.91598959  -1.49036937
   5.86064129  -2.60724438  -2.58033072  -2.64189998 -25.17580797
  21.84924833]","[ -0.211375     2.78297018  -1.55180435   2.89136314  -1.5353245
   4.52993026  -2.25725322  -2.20862089  -2.25337746 -25.06753077
  22.07325152]","[ -0.28660007   2.6748562   -1.57587075   3.43191777  -2.05159528
   5.73687781  -2.41382673  -2.38453945  -2.4220278  -23.26035192
  20.96841151]","[ -0.17062302   2.78253069  -0.52138771   1.69145394  -2.68559876
   4.46633865  -1.95156223  -1.88370555  -1.94041179 -24.7412552
  21.78695094]","[ -0.37040459   2.53389038  -1.96400253   4.08728449  -2.30976493
   6.61043277  -2.76031988  -2.72130088  -2.74216486 -26.82371738
  22.44309741]","[ 6.43420040e+01  7.52501979e-03  1.05642550e+00 -1.34644783e+00
 -1.35611378e+00  4.78825351e-02 -6.51553754e+01 -6.51097800e+01
 -6.51643425e+01 -2.83448399e+01  2.29871490e+01]","[  1.05698021   0.03407226   0.88252214  -0.65786097  -3.59734186
   1.95043017  -2.07069438  -2.00867051  -2.05103431 -22.59046557
  20.68627658]","[ 7.29840169e+02  1.41301416e-03  8.66291738e-01 -1.37214743e+00
 -9.67792961e-01 -1.24487875e+00 -7.30329010e+02 -7.30274449e+02
 -7.30302888e+02 -2.24814747e+01  2.04817269e+01]",1930.9432692164403,0.9344,6,0.0033,6,0.1028,3,0.0015,1,0.93184,0.9334899999999999,0.93424,0.9337399999999999,0.93428,0.9343999999999999,0.9330299999999999,0.9319599999999999,0.93141,0.9278600000000001
Batch_04,"[-0.69324274  3.31773703 -7.66272286 13.90219538 -4.85257092 17.51355173
 -5.69233373 -5.52828978 -5.51252385 -1.82796566 10.86171989]","[-0.60745703  3.44889812 -7.14973627 13.38270159 -8.21328382 18.25183907
 -5.63548715 -5.5357244  -5.48731744 -1.3855746  10.26816157]","[ -0.79148503   2.82974319  -5.90186133  11.25840097 -12.65124791
  17.50446689  -4.62434767  -4.46612436  -4.46417459  -1.12623144
  10.65714676]","[-0.56835602  3.59011922 -7.14727995 13.00886843 -5.31877697 16.92781412
 -5.57534707 -5.38134384 -5.39908943 -3.08411541 11.57732122]","[ 2.12411858e+03 -1.65769501e-03 -4.38411148e+00  7.77710749e+00
 -1.15367058e+01  1.21067310e+01 -2.12804864e+03 -2.12766708e+03
 -2.12780555e+03 -9.38678108e+00  1.51070767e+01]","[-0.68559939  3.25970643 -7.37164739 13.47934899 -6.14602339 17.38177185
 -5.59674599 -5.41925137 -5.40721813 -2.66849234 11.18841259]","[ -1.01808717   2.97059248  -7.52479562  14.4458582  -13.04287003
  22.54529284  -6.01746179  -5.84974087  -5.84514354  -3.39559814
  11.65161502]","[-0.66667543  3.33059061 -7.32406297 13.34324873 -6.46851351 17.5323704
 -5.53959422 -5.38734966 -5.38512564 -2.69094523 11.20048187]","[ -0.92667149   2.87561323  -6.83913285  12.74363242 -11.09754547
  19.49900554  -5.28310539  -5.13159406  -5.11942726  -4.44650778
  12.39659986]","[-0.53333266  3.58289865 -7.06145796 12.83008574 -4.847573   16.34637847
 -5.61705664 -5.43318547 -5.43678929 -5.51254528 12.56862847]",4254.82277033065,0.8785,2,0.0475,2,0.1561,5,0.0072,2,0.8747199999999999,0.8785299999999999,0.8757399999999999,0.87395,0.8283400000000001,0.87504,0.8770200000000001,0.87569,0.87583,0.87453
Batch_05,"[ 3.46289587e+02  2.17174868e-03  9.41515678e-01 -3.90473725e-01
 -1.94281058e+01  4.39512897e+00 -3.46943937e+02 -3.46843011e+02
 -3.46774092e+02  2.86501770e+00  1.00160816e+01]","[ 7.36801726e+02  1.90224187e-03  1.92869470e+00 -2.21056095e+00
 -1.57021369e+01  1.52643829e+00 -7.36847532e+02 -7.36783657e+02
 -7.36697788e+02 -4.32854076e+00  1.25569108e+01]","[ 9.77319471e+02  1.14908185e-03  1.54012592e+00 -1.40506191e+00
 -1.49907263e+01  2.13890897e+00 -9.77495558e+02 -9.77435466e+02
 -9.77337404e+02  4.91650041e-02  1.05773438e+01]","[ 5.25940583e+02  2.23081791e-03  9.09093095e-01 -5.92991205e-01
 -1.13378572e+01  1.68434748e+00 -5.26237196e+02 -5.26152159e+02
 -5.26101545e+02  5.07068719e+00  8.80538622e+00]","[ 4.08649123e+02  2.49987437e-03  1.48202710e+00 -1.24280157e+00
 -1.63979804e+01  2.97874920e+00 -4.08929005e+02 -4.08873119e+02
 -4.08785960e+02  1.28891457e+00  1.02905971e+01]","[ 3.91405066e+02  1.87712815e-03  9.66207590e-01 -4.29488651e-01
 -1.52221952e+01  3.45871429e+00 -3.92145046e+02 -3.92075323e+02
 -3.91991672e+02 -2.18330059e+00  1.18658708e+01]","[ 5.20027130e+02  1.45660930e-03  1.77400586e+00 -1.26884588e+00
 -2.05973353e+01  4.92301107e+00 -5.20328315e+02 -5.20264007e+02
 -5.20185986e+02  5.19872890e+00  8.68935115e+00]","[ 8.56945842e+02  1.74392188e-03  1.72442745e+00 -1.86449520e+00
 -1.46240083e+01  1.51736070e+00 -8.56902918e+02 -8.56793558e+02
 -8.56748653e+02  3.32393276e+00  9.65744177e+00]","[ 3.92292033e+02  1.75287298e-03  1.11841879e+00 -6.28867928e-01
 -1.96029591e+01  4.62001767e+00 -3.93108727e+02 -3.93032241e+02
 -3.92982795e+02 -5.24677665e+00  1.30598350e+01]","[ 4.61069800e+00  5.35685501e-03  2.83518347e-01  6.00464794e-01
 -1.91878871e+01  6.19801376e+00 -5.78200085e+00 -5.68805328e+00
 -5.62411663e+00  1.49921677e-01  1.16342150e+01]",3674.8394795442105,0.8624,6,0.0032,2,0.1417,6,0.0005,2,0.8607099999999999,0.86043,0.86154,0.8609300000000001,0.8621399999999999,0.8624400000000001,0.8613099999999999,0.86108,0.8616400000000001,0.85982
Batch_06,"[ 2.07107073e+03  2.23996368e-03 -9.48387235e-01 -2.09607117e+00
  3.79629817e+01 -1.99965770e+01 -2.06975637e+03 -2.06961236e+03
 -2.06969316e+03 -8.19335853e+00  1.56056016e+01]","[ 1.05885808e+03  3.29013169e-03 -1.33936799e+00 -2.94167961e-01
  3.00890507e+01 -1.50630105e+01 -1.05855805e+03 -1.05839491e+03
 -1.05843588e+03 -7.50569404e+00  1.48850594e+01]","[ 1.22765477e+03  2.62883090e-03 -3.48541134e-01 -1.49920252e+00
  1.50885667e+01 -1.15158114e+01 -1.22706147e+03 -1.22692883e+03
 -1.22699436e+03 -6.93423625e+00  1.47582021e+01]","[ 1.19988886e+03  2.90175376e-03 -4.73395695e-01 -1.42374692e+00
  1.45657670e+01 -1.16321079e+01 -1.19913419e+03 -1.19899985e+03
 -1.19906533e+03 -4.05519170e-01  1.22980131e+01]","[ 1.45268569e+03  2.05992667e-03 -5.52999284e-01 -1.09161394e+00
  1.09898243e+01 -9.87542568e+00 -1.45224487e+03 -1.45211655e+03
 -1.45217778e+03 -3.98745785e+00  1.37397825e+01]","[ 6.72450251e+02  4.44204020e-03 -1.44535852e+00  1.54751351e-01
  1.80137306e+01 -1.12068105e+01 -6.72302835e+02 -6.72160322e+02
 -6.72214145e+02 -2.38673733e+00  1.29337030e+01]","[ 2.67624662e+02  9.04144409e-03 -4.08997899e-01 -8.93709844e-01
 -7.62867755e-01 -6.25424230e+00 -2.67540097e+02 -2.67410988e+02
 -2.67460865e+02 -5.16597107e+00  1.44464904e+01]","[ 1.18356038e+03  2.38949555e-03 -1.85986550e+00  7.42281307e-01
  1.55906768e+01 -1.05475876e+01 -1.18355881e+03 -1.18341229e+03
 -1.18346505e+03 -4.17807641e-01  1.22301008e+01]","[ 4.93365246e+02  7.42584735e-03 -1.77038819e+00  7.37818720e-02
  2.14771455e+01 -1.40127321e+01 -4.92658437e+02 -4.92524974e+02
 -4.92589506e+02  5.73128341e+00  9.76149567e+00]","[ 1.26903495e+03  2.58162152e-03 -2.09249738e+00  9.20568914e-01
  2.15857915e+01 -1.24518505e+01 -1.26901505e+03 -1.26887542e+03
 -1.26893166e+03 -3.50050545e-01  1.21090963e+01]",7546.730141069777,0.8873,8,0.0076,8,0.1301,1,0.001,7,0.88422,0.88595,0.88519,0.8836400000000001,0.88566,0.8872,0.88473,0.88734,0.8861399999999999,0.88704
Batch_07,"[ 1.31702278e+02  5.88435480e-03  2.50704486e+00 -3.40163008e+00
 -3.81120443e+00 -3.05681913e-01 -1.31365072e+02 -1.31270206e+02
 -1.31402684e+02 -1.41178680e+01  1.71433166e+01]","[ 0.10155639  1.12566396  3.09681238 -3.63858194 -9.44095752  2.38115138
  0.29060442  0.4338022   0.32448618 -9.98222214 15.12439223]","[ 5.69574030e-01  7.16995956e-01  3.13318455e+00 -4.15114564e+00
 -7.57302151e+00  1.10472800e+00 -1.13203216e-01  1.57249299e-02
 -9.39096302e-02 -1.40339985e+01  1.74350102e+01]","[  0.28039059   1.17610468   4.00811644  -5.17731923  -8.43391168
   1.51389197   0.35492517   0.48998874   0.35337259 -18.72243908
  18.84124616]","[-1.18392951e+01 -5.76894905e-03  3.34348129e+00 -4.04696163e+00
 -1.04413263e+01  2.92248512e+00  1.22454580e+01  1.23825609e+01
  1.22670987e+01 -1.18107415e+01  1.61661950e+01]","[  0.24384818   0.70241959   2.78477113  -3.41025203  -9.45236775
   2.57519274  -0.08744113   0.04239485  -0.09971068 -13.78865947
  17.04493174]","[-7.86495052e+00  4.92803841e-03  3.06776290e+00 -3.46690906e+00
 -1.09073402e+01  3.52406082e+00  8.04950522e+00  8.17734410e+00
  8.04627115e+00 -1.13516331e+01  1.58566249e+01]","[ 1.07107782e+08 -2.40897790e+02  3.22929740e+00 -3.76440065e+00
 -1.26195675e+01  3.83378779e+00  1.80199890e-01  3.00901736e-01
  1.69382931e-01 -1.33614036e+01  1.68341926e+01]","[  0.0836626    2.28743622   3.17605761  -4.116192    -7.1019522
   1.19730638   0.43224215   0.5603014    0.43889462 -14.63173305
  17.20511669]","[ 6.54699292e+01  3.66809950e-03  3.24542312e+00 -4.08829223e+00
 -1.01921408e+01  2.63251375e+00 -6.51819178e+01 -6.50655953e+01
 -6.51972990e+01 -1.53949910e+01  1.79175798e+01]",107107782.2897283,0.9393,8,0.0015,5,0.1135,8,0.001,10,0.93667,0.9380499999999999,0.93774,0.9378400000000001,0.9382699999999999,0.9381999999999999,0.938,0.93929,0.9382699999999999,0.9378399999999999
Batch_08,"[-1.25996987e-03  1.66042029e+01 -1.27053593e+00  3.53829546e+00
 -2.26457665e+01  1.05836430e+01 -3.01687440e+00 -2.86374927e+00
 -2.94706160e+00 -9.55699811e+00  1.42365691e+01]","[-1.53110178e-03  1.59213017e+01 -1.31224245e+00  3.55665097e+00
 -2.52273376e+01  1.06880052e+01 -2.96577788e+00 -2.78939463e+00
 -2.88666131e+00 -9.96809399e+00  1.40614002e+01]","[ 1.03329499e+03 -3.27269986e-03 -7.74566260e-01  3.98260731e+00
 -6.86627687e+01  2.40340984e+01 -1.03686740e+03 -1.03672079e+03
 -1.03679523e+03 -9.06824424e+00  1.40960041e+01]","[ 5.28934559e+02 -6.21902416e-03  2.54397738e-01  2.88076282e+00
 -7.59564316e+01  2.54752057e+01 -5.32017147e+02 -5.31877698e+02
 -5.31940823e+02 -3.60525838e+00  1.13678221e+01]","[-7.07911401e-03  1.18266820e+01 -1.93058355e+00  4.57475849e+00
 -3.09132966e+01  1.23507544e+01 -3.08095431e+00 -2.94925642e+00
 -3.02151453e+00 -1.42992279e+00  1.07627165e+01]","[-2.93273970e-03  1.43188617e+01 -2.57957339e+00  5.37318481e+00
 -2.16472596e+01  1.05463354e+01 -3.46402404e+00 -3.32641521e+00
 -3.40675293e+00 -7.22299891e+00  1.29528908e+01]","[ 1.07041675e+03 -3.42664194e-03 -1.62119609e+00  5.28937809e+00
 -6.67888876e+01  2.41827151e+01 -1.07438904e+03 -1.07420225e+03
 -1.07430271e+03 -8.77895434e+00  1.36475301e+01]","[ 8.64326189e+02 -3.23471278e-03 -4.53355074e-01  3.41358676e+00
 -6.43527051e+01  2.17359583e+01 -8.67484203e+02 -8.67311611e+02
 -8.67394084e+02 -7.29075207e+00  1.27648932e+01]","[ -1.1751808    2.0074946   -1.51301071   5.34985648 -60.18584647
  23.73048357  -2.97019432  -2.82505045  -2.90813206  -7.91790369
  13.29576748]","[ 1.27505268e+03 -3.33758275e-03 -7.33039593e-01  4.42565559e+00
 -7.62921867e+01  2.77590819e+01 -1.27899151e+03 -1.27882952e+03
 -1.27890986e+03 -9.36917932e+00  1.41757584e+01]",4427.743805884458,0.8186,2,0.0294,8,0.1368,6,0.0009,2,0.8153599999999999,0.8186,0.81053,0.81472,0.8144600000000001,0.8134600000000001,0.8123699999999999,0.81698,0.8121600000000001,0.81166
Batch_09,"[ 3.59139079e+01  3.17245282e-03 -1.57998246e+00  3.33641942e+00
 -9.97633715e+00  4.34768350e+00 -3.76898323e+01 -3.77080137e+01
 -3.76303209e+01  3.32365823e-01  9.16006774e+00]","[ 8.03866615e+00  7.58203659e-02 -7.92826622e-01  2.02959641e+00
 -6.08840425e+00  2.29106375e+00 -9.28327381e+00 -9.31994588e+00
 -9.23492627e+00  1.04987696e-05  9.26113581e+00]","[ 1.82072843e+02  2.89887948e-03 -2.19808670e-01  1.35373706e+00
 -1.03442005e+01  3.36280320e+00 -1.83309470e+02 -1.83322181e+02
 -1.83250687e+02 -2.97598123e+00  1.06352962e+01]","[  0.51806105  -0.01784146  -2.8233997    5.32901858 -12.54715714
   5.42103306  -3.21824554  -3.24575388  -3.15913581  -2.1283286
  10.26227317]","[ 1.09043050e+02 -3.38169710e-03 -2.25024447e+00  4.48893520e+00
 -8.74033098e+00  5.29410681e+00 -1.11209316e+02 -1.11220389e+02
 -1.11156331e+02  8.02530493e-01  8.78745380e+00]","[ 1.57875928e+02  7.01762755e-03 -6.17316132e-01  1.59736189e+00
 -2.49494078e+00  1.84111396e-01 -1.58895518e+02 -1.58895522e+02
 -1.58824930e+02  2.42720346e-02  9.21712095e+00]","[ 7.00114249e+01  2.31102853e-03 -1.87183769e+00  3.95656753e+00
 -9.30320635e+00  4.38329026e+00 -7.19477250e+01 -7.19594202e+01
 -7.18797303e+01  2.25147190e+00  8.02084215e+00]","[ 2.43950938e+02  6.93149360e-03  2.41851051e+00 -3.04078625e+00
 -1.09314859e+01  1.25095352e-01 -2.43840993e+02 -2.43906430e+02
 -2.43827450e+02 -1.38905542e+01  1.50681291e+01]","[ 4.14462808e+01 -2.81918835e-03 -1.54517093e+00  3.61743444e+00
 -1.09438157e+01  5.49496430e+00 -4.33725788e+01 -4.33971710e+01
 -4.33066514e+01  1.52601480e+00  8.51808543e+00]","[ 16.90728282   0.04510025  -0.77433149   1.71939017   0.03128941
   0.38678563 -18.19586206 -18.20049507 -18.10928386  -5.77657296
  11.96175207]",747.5540600057474,0.8974,2,0.0027,7,0.121,2,0.0008,6,0.8966700000000001,0.89743,0.89602,0.89556,0.89524,0.89584,0.8972199999999999,0.8964500000000001,0.8968700000000001,0.8951699999999999
Batch_10,"[  4.03789052 -28.80984421  -5.6288292    8.93053256 -25.58040665
   5.53763594  -3.14119778  -3.22878352  -3.18965495   0.4991137
   8.11812814]","[-8.75389624e+02  2.92284475e-03 -1.02807502e+01  1.81677408e+01
 -3.07929678e+01  1.56669327e+01  8.68097109e+02  8.68034985e+02
  8.68065048e+02  1.51168310e+00  7.37850247e+00]","[-7.92100992e+02  3.02497628e-03 -5.62706887e+00  1.12423988e+01
 -3.16914840e+01  1.54506808e+01  7.87284156e+02  7.87219812e+02
  7.87254651e+02  1.50403464e+00  7.54805311e+00]","[  5.32314708  -1.05485108  -7.82998302  15.91760749 -72.35450761
  28.07024384 -12.41594183 -12.48954026 -12.47341651   0.7147884
   7.98685443]","[  2.91821972  -2.71720052  -2.74660955   8.14619979 -99.93920703
  31.06760368  -6.95837068  -6.99980764  -6.98615969   0.623724
   8.076591  ]","[-6.56356272e+02  3.17218363e-03 -5.87486304e+00  1.12681082e+01
 -2.25258825e+01  1.26790004e+01  6.51724210e+02  6.51647651e+02
  6.51692724e+02  1.25720631e+00  7.62593797e+00]","[-5.88646232e+02  4.79531999e-03 -8.63573413e+00  1.57051611e+01
 -3.38851022e+01  1.63210288e+01  5.82159019e+02  5.82100107e+02
  5.82170277e+02  3.68933245e-01  8.19682290e+00]","[  1.1314543  -11.40354106  -2.37350022   5.07718428 -49.1797604
  12.36878534  -2.28504366  -2.31984559  -2.31524736   2.30143838
   6.77395954]","[-5.46775622e+02  8.55120363e-03  1.84910617e-01  4.55075635e+00
 -8.25381150e+01  3.16995508e+01  5.43460829e+02  5.43388893e+02
  5.43446539e+02  1.57028551e+00  7.56159350e+00]","[   4.28374658   -1.74175865   -5.63991853   13.71913714 -109.10283471
   36.08510148  -10.93101076  -11.00000462  -10.93894966    1.24106678
    7.473597  ]",3133.1983525579108,0.9543,10,0.0004,7,0.1614,5,0.0007,1,0.94815,0.95252,0.9516600000000001,0.9537099999999998,0.9526800000000002,0.9518799999999998,0.95322,0.9488399999999999,0.9495700000000001,0.9543100000000001
